Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",,,,,,,,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",,,,,,,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A,Q16B,"Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)",Q18_1,Q18_2,Q18_3,OE_Quality_Flag
,,,,,,,Beer, Flavored/Mixed Beer, Non-Alcoholic Beers, Hard Ciders, Hard Kombucha, Wine, Hard Beverage, Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,,,,,,,,,,,,,,
1,10-11-2024 09:41,10-11-2024 09:49,62,Female,Suburban / just outside of a city,"Less than $20,000",Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Very Different,Very Believable,About Average,Probably Would Buy,Once Every 2 to 3 Weeks,It's a classic brand.,Nothing specific to dislike.,Be used in addition to products you are currently using,,,,0
2,10-11-2024 09:41,10-11-2024 09:50,35,Male,Big city,"$150,000 or more",Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,Taste,The glass,Be used in addition to products you are currently using,,,,0
9,10-11-2024 09:41,10-11-2024 09:57,62,Male,Suburban / just outside of a city,"$30,000 to $39,999",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,Somewhat Expensive,May or May Not Buy,Two or Three Days/Nights a Week,Why?,Pure is a misnomer,Be used in addition to products you are currently using,,,,1
22,10-11-2024 10:14,10-11-2024 10:22,64,Male,Big city,"$100,000 to $149,999",Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Not Very Believable,About Average,May or May Not Buy,Once a Month,I have a lot to say,Not really,Sometimes replace products you are currently drinking,None,Beer,Drink,1
30,10-11-2024 10:15,10-11-2024 10:55,57,Female,Big city,"$30,000 to $39,999",Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Somewhat Relevant,Extremely Appealing,Not Different at All,Somewhat Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,I love Michelob brand and the bottle shape and color is ery appealing,There is nothing I dislike,Be used in addition to products you are currently using,,,,0
34,10-11-2024 11:28,10-11-2024 11:39,61,Male,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Once a Week,it's michelob,nothing,Sometimes replace products you are currently drinking,michelob ultra,na,na,0
54,10-12-2024 06:16,10-12-2024 06:30,54,Female,Small Town,"$30,000 to $39,999",Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Very Irrelevant,Extremely Unappealing,Very Different,Not Very Believable,About Average,Definitely Would Not Buy,Never,I don't,Dislike,Be used in addition to products you are currently using,,,,1
68,10-12-2024 10:11,10-12-2024 10:28,42,Male,Big city,"$150,000 or more",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,Somewhat Expensive,Definitely Would Buy,Two or Three Days/Nights a Week,"Michelob ULTRA Pure Gold is distinguished by its use of organic ingredients and refreshing taste, with low calories.",Nothing,Totally replace products you are currently drinking,Other Light lagers,regular lagers or ales,Hard Seltzers,0
82,10-12-2024 12:33,10-12-2024 12:44,25,Female,Big city,"$30,000 to $39,999",Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Neutral,Somewhat Appealing,Very Different,Somewhat Believable,About Average,Probably Would Buy,Once a Month,That it had less calories,Nothing,Be used in addition to products you are currently using,,,,0
110,10-12-2024 14:50,10-12-2024 14:59,51,Male,Suburban / just outside of a city,"$60,000 to $69,999",Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Not Very Believable,About Average,Probably Would Not Buy,Once a Week,No response,No response,Be used in addition to products you are currently using,,,,1
116,10-12-2024 14:42,10-12-2024 15:28,57,Male,Small city,"$40,000 to $49,999",Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Very Believable,About Average,Definitely Would Buy,Once a Week,Smooth taste,I prefer Ultra Gold  nothing that I dislike,Be used in addition to products you are currently using,,,,0
122,10-12-2024 15:30,10-12-2024 15:41,46,Male,Small city,"Less than $20,000",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Once Every 6 Months,I would buy it if they were out of my regular beer. It's not bad and is more refreshing than some other light beers.,It can be a bit harsh on the after taste but not too bad.,Sometimes replace products you are currently drinking,Keystone,Bud Light,Budweiser,0
139,10-12-2024 17:34,10-12-2024 17:42,33,Male,Small city,"$40,000 to $49,999",Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Somewhat Irrelevant,Neither Appealing nor Unappealing,Slightly Different,Somewhat Believable,Somewhat Inexpensive,May or May Not Buy,Less Often Than Every 6 Months,I don’t like it.,It looks bad.,Sometimes replace products you are currently drinking,Budweiser,Carona,Miller,1
164,10-12-2024 18:59,10-12-2024 19:35,54,Female,Suburban / just outside of a city,"$30,000 to $39,999",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Slightly Different,Somewhat Believable,Somewhat Expensive,Probably Would Buy,Once Every 2-3 Months,I have try it see how smoothly it goes down,I have no dislikes,Sometimes replace products you are currently drinking,Corona,Bud light,Miller light,0
186,10-12-2024 23:03,10-12-2024 23:13,43,Female,Big city,"$70,000 to $79,999",Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Less Often Than Every 6 Months,I like michelob,Nothing,Be used in addition to products you are currently using,,,,0
220,10/13/2024 6:40,10/13/2024 6:53,45,Female,Big city,"$70,000 to $79,999",Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,Somewhat Inexpensive,Definitely Would Buy,Two or Three Days/Nights a Week,I like the taste and it doesn't leave my gut feeling heavy,I don't dislike anything,Totally replace products you are currently drinking,Budweiser,Miller high Life,211,0
243,10/13/2024 11:21,10/13/2024 11:31,34,Male,Small city,"$100,000 to $149,999",Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Completely Relevant To Me,Somewhat Appealing,Somewhat Different,Somewhat Believable,Somewhat Expensive,Definitely Would Buy,Once a Week,Quality,Not sure,Sometimes replace products you are currently drinking,Good,Gold,Usda,1
248,10/13/2024 11:43,10/13/2024 11:57,37,Male,Big city,"$100,000 to $149,999",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,Somewhat Inexpensive,Definitely Would Buy,Two or Three Days/Nights a Week,really good qualiyt and good offerings,the taste could be stronger,Be used in addition to products you are currently using,,,,0
252,10/13/2024 12:08,10/13/2024 12:23,63,Male,Big city,"$100,000 to $149,999",Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,It has a smooth and refreshing taste,Nothing,Sometimes replace products you are currently drinking,Golsh,Bud lite,Bud dry,0
257,10/13/2024 13:01,10/13/2024 13:14,64,Male,Small Town,"$50,000 to $59,999",Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Very Irrelevant,Extremely Unappealing,Slightly Different,Somewhat Believable,About Average,Definitely Would Not Buy,Never,i didnt say i did,i dont do light beer,Be used in addition to products you are currently using,,,,0
294,10/13/2024 15:57,10/13/2024 16:14,54,Female,Big city,"$50,000 to $59,999",Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Slightly Different,Somewhat Believable,Somewhat Inexpensive,May or May Not Buy,Once a Month,Low calorie and low carbs,It is a brand my father used to drink.,Be used in addition to products you are currently using,,,,0
324,10/13/2024 18:19,10/13/2024 18:29,33,Male,Rural / distant or remote,"$150,000 or more",Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Probably Would Buy,Once a Week,The taste and quality,None,Be used in addition to products you are currently using,,,,0
351,10/13/2024 20:51,10/13/2024 21:01,61,Male,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Extremely Different,Very Believable,Somewhat Expensive,Probably Would Buy,Once a Week,I liked the colors that were used.  I also liked that it was light.,There was nothing that I did not like about it.,Be used in addition to products you are currently using,,,,0
382,10/13/2024 23:32,10/14/2024 0:00,53,Male,Small city,"$100,000 to $149,999",Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Neutral,Neither Appealing nor Unappealing,Very Different,Not Very Believable,About Average,Probably Would Buy,Once Every 6 Months,Better name,Don't dislike it it's just preferable not my drink,Be used in addition to products you are currently using,,,,0
419,10/14/2024 10:35,10/14/2024 10:43,30,Male,Small Town,"$60,000 to $69,999",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,Somewhat Expensive,Probably Would Not Buy,Once a Month,It sounds interesting,none,Sometimes replace products you are currently drinking,coors light,keystone light,bud light,0
420,10/14/2024 10:38,10/14/2024 10:50,50,Male,Small city,"$80,000 to $89,999",Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,Its packaging is appealing right off the bat. Its rich and thick taste basically makes my mouth salivate.,It looks perfect.,Totally replace products you are currently drinking,Corona,Beck’s,Heineken,0
446,10/14/2024 19:06,10/14/2024 19:15,49,Male,Rural / distant or remote,"$100,000 to $149,999",Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Somewhat Relevant,Somewhat Appealing,Very Different,Very Believable,Somewhat Inexpensive,Probably Would Buy,Two or Three Days/Nights a Week,"It looks refreshing and delicious,  I like the low calorie feature",Theres nothing that I disliked about it,Sometimes replace products you are currently drinking,Heineken silver,Modelo,Dos equis,0
481,10/15/2024 19:22,10/15/2024 19:30,45,Male,Big city,"Less than $20,000",Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,The price,I dislike nothing,Be used in addition to products you are currently using,,,,1
508,10/16/2024 6:46,10/16/2024 7:07,37,Male,Suburban / just outside of a city,"$80,000 to $89,999",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Neutral,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,i like that the beer is light. It seems healthier.,I dislike nothing.,Sometimes replace products you are currently drinking,miller light,hienkin,coors light,0
538,10/16/2024 18:23,10/16/2024 18:32,30,Male,Big city,"$100,000 to $149,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Extremely Appealing,Extremely Different,Somewhat Believable,Somewhat Expensive,Probably Would Buy,Once a Week,The bottle design & fonts.,The price,Be used in addition to products you are currently using,,,,0
567,10/17/2024 1:22,10/17/2024 1:28,32,Male,Small city,"$30,000 to $39,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Very Different,Not Very Believable,Somewhat Expensive,May or May Not Buy,Once a Month,I don’t like anything,Nothing,Sometimes replace products you are currently drinking,Montser,Water,Gatedade,1
595,10/17/2024 7:53,10/17/2024 8:07,33,Female,Big city,"$60,000 to $69,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Week,Healthier,None,Sometimes replace products you are currently drinking,Modelo,Corona,Stella arteois,0
631,10/17/2024 14:14,10/17/2024 14:20,24,Female,Small city,"$30,000 to $39,999",Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Less Often Than Every 6 Months,It’s an ok beer,Not the best but it’s alright,Sometimes replace products you are currently drinking,Corona,Corona,Corona,1
651,10/17/2024 16:20,10/17/2024 16:26,32,Male,Big city,"$20,000 to $29,999",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Completely Relevant To Me,Somewhat Appealing,Somewhat Different,Not at all Believable,About Average,Definitely Would Buy,Daily/Nightly,Love the taste it’s great and light unlike other beers,Nothing at all I love this drink,Sometimes replace products you are currently drinking,Coronna,Coors light,Budweiser,0
1730,10/22/2024 11:42,10/22/2024 12:28,32,Male,Big city,"$100,000 to $149,999",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Completely Relevant To Me,Somewhat Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once Every 2 to 3 Weeks,Test are very good.,None are dislike this.,Sometimes replace products you are currently drinking,Teasty,Cool,Original,1
1772,10/23/2024 10:50,10/23/2024 11:05,60,Female,Suburban / just outside of a city,"$60,000 to $69,999",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,Somewhat Expensive,Probably Would Buy,Once Every 2 to 3 Weeks,85 calories,"Price, 9.99 is a little pricey",Sometimes replace products you are currently drinking,Michelob Ultra,Corona light,Bud light,0
1820,10-12-2024 12:41,10-12-2024 12:51,33,Male,Suburban / just outside of a city,"$150,000 or more",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,Very Expensive,Definitely Would Buy,Daily/Nightly,The taste is so smooth,Nothing what so ever,Totally replace products you are currently drinking,Bud Light,Heineken,Modelo,0
1825,10/22/2024 4:43,10/22/2024 4:52,39,Male,Big city,"$150,000 or more",Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,The brand and the taste,Nothing,Totally replace products you are currently drinking,Veltins,Stella,Bud light,0
1873,10/21/2024 18:28,10/21/2024 19:04,30,Female,Small Town,"$70,000 to $79,999",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Once Every 2-3 Months,Low calorie,I can't say I dislike anything about it visually,Be used in addition to products you are currently using,,,,0
